,GISPROPNUM,BOROUGH,ACRES,SIGNNAME,TYPECATEGO,handball,tennis,basketball,adult_soft,track_and,play_area_count,preserve_count,spray_count,OBJECTID,TPL_P_NAME,FREQUENCY,SUM_SVCAREA,SUM_TOTPOPSVCA,SUM_KIDSVCA,SUM_YOUNGPROSVCA,SUM_SENIORSVCA,SUM_HHILOWSVCA,SUM_HHIMEDSVCA,SUM_HHIHIGHSVCA,SUM_TOTHHSVCA,SUM_WHITE_SVC,SUM_BLACK_SVC,SUM_AMERINDSVC,SUM_ASIAN_SVC,SUM_PACIFICSVC,SUM_OTHRACESVC,SUM_RACE2UPSVC,SUM_HISP_SVC
254,B311,B,1.004,Ten Eyck Playground,Jointly Operated Playground,2.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1631,Ten Eyck Playground,30,11090649.5178,22257,3931,15548,2774,4239,2196,2550,8985,11700,3059,204,1799,22,4391,1085,10926
255,B312,B,0.536,Woodruff Playground,Jointly Operated Playground,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1785,Woodruff Playground,15,7425257.60247,12317,4055,6983,1277,2410,1186,561,4156,1251,8585,111,178,6,1665,519,3900
256,B313,B,0.89,El Shabazz Playground,Jointly Operated Playground,2.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,413,El Shabazz Playground,39,12110522.749,25549,6217,16066,3265,4344,3249,2901,10493,1735,21267,144,564,2,891,949,2631
257,B315,B,0.933,Surf Playground,Jointly Operated Playground,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,1619,Surf Playground,18,7141063.93585,17181,4346,8813,4024,3923,1451,745,6117,6021,6972,111,1882,5,1564,626,4479
258,B316,B,0.826,Di Gilio Playground,Community Park,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,352,Di Gilio Playground,17,6440885.02328,13798,5420,6925,1453,1515,1100,1117,3734,10668,246,33,1292,2,1191,366,1956
259,B317,B,0.705,Lafayette Gardens Playground,Playground,2.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,794,Lafayette Gardens Playground,41,14384607.9482,34037,9209,21538,3289,4947,3445,4559,12950,13519,14256,172,1821,44,2678,1539,6109
260,B320,B,0.955,Park Slope Playground,Jointly Operated Playground,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1293,Park Slope Playground,42,13817419.8317,29915,5346,21400,3166,2222,2714,9079,14016,21671,2793,84,2418,12,1300,1640,4206
261,B321,B,0.917,Edmonds Playground,Jointly Operated Playground,0.0,0.0,4.0,0.0,0.0,4.0,0.0,1.0,405,Edmonds Playground,40,12046388.9189,26712,4550,18837,3324,3889,3078,5654,12620,11428,9922,99,2205,4,1375,1677,3780
262,B322,B,1.416,Pulaski Playground,Jointly Operated Playground,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1402,Pulaski Playground,43,14318574.2646,37171,10495,22705,3971,7136,3656,2780,13570,6030,21786,305,1002,33,6309,1713,13376
263,B323,B,1.195,Hattie Carthan Playground,Jointly Operated Playground,2.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,612,Hattie Carthan Playground,48,14110835.0318,35608,8577,23033,4003,6217,4618,3749,14578,4030,26693,164,1261,24,1963,1472,4965
